[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = PLAYER , 1 = SOPHIA, 2 = JASON, 5 = BRICK, 11 = ORB1, 12 = WORM,	13 = FLOATER, 14 = SKULL, 15 = ORB2, 16 = JUMPER, 17 = INSECT, 18 = DOME
#ORB1
#11	67	71
#WORM
#12	78	66
#12	118	66
#FLOATER
#13	117	66
#13	106	67
#SKULL
#14	102	69
#ORB2
#15	79	66
#JUMPER
#16	75	68
#INSECT
#17	74	68
#DOME
18	74	71
# BRICK
# SCENE 2.1
6	63	65	1	13
6	64	65	62	1
6	125	66	1	5
6	64	78	50	1
6	64	74	20	1
6	81	75	1	3
6	88	74	8	1
6	89	75	1	3
6	93	75	1	3
6	100	74	8	1
6	101	75	1	3
6	105	75	1	3
6	112	74	13	1
6	113	75	1	3
#up
6	67	66	2	2
6	71	66	2	3
6	75	66	2	2
6	79	66	2	5
6	83	66	2	3
6	87	66	2	2
6	91	66	2	2
6	95	66	2	3
6	99	66	2	2
6	103	66	2	5
6	107	66	2	2
6	111	66	2	2
6	115	66	2	3
6	119	66	2	5
#
##
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#SCENE	2.1
7	124	71	2	3	2
