[CLEARANIMATIONSETS]
6
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = PLAYER , 1 = SOPHIA, 2 = JASON, 5 = BRICK, 11 = ORB1, 12 = WORM,	13 = FLOATER, 14 = SKULL, 15 = ORB2, 16 = JUMPER, 17 = INSECT, 18 = DOME
#FLOATER
#13	7	70
#13	10	72
#13	14	70
#DOME
#18	20	72
#JUMPER
#16	2	59
#INSECT
#17	21	46
#17	24	29
#ORB2
#15	2	20
#15	21	20
#WORM
#12	21	18
#DOME
#18	18	4
# BRICK
# SCENE 2.2
#group1
6	1	3	1	76
6	30	3	1	5
6	30	10	1	69
6	1	3	29	1
6	2	10	8	2
6	6	6	16	2
6	26	6	4	2
6	22	10	8	2
6	6	14	24	2
6	2	18	20	2
6	16	8	2	6
6	22	22	4	2
6	6	26	16	2
6	2	30	4	2
6	2	34	12	2
6	18	34	8	2
6	26	38	4	2
6	6	42	20	2
6	2	46	4	2
6	16	44	2	6
6	26	46	4	2
6	6	50	4	2
6	14	50	12	2
6	2	54	12	2
6	20	52	2	6
6	26	54	4	2
6	10	58	16	2
6	2	62	8	2
6	16	60	2	6
6	26	62	4	2
6	6	66	20	2
6	2	70	4	2
6	20	68	2	6
6	26	70	4	2
6	2	74	8	2
6	14	74	16	2
6	2	78	28	1
##
# --- SCENE PORTAL ----
7	3	72	1	2	1
7	28	8	8	2	3
